name,address,adname,pname,type,lat,lon
上海市田林中学(东校区),宜山路699号(近桂林路),徐汇区,上海市,科教文化服务;学校;中学,31.176507609948448,121.41460306485192
上海市第五十四中学(复兴中路校区),复兴中路1464号,徐汇区,上海市,科教文化服务;学校;中学,31.21312561449519,121.4441371063002
华东理工大学附属中学高中毕业班,梅陇十村74号,徐汇区,上海市,科教文化服务;学校;中学,31.13286793721545,121.41868200953958
上海市第四中学,宛平南路149号,徐汇区,上海市,科教文化服务;学校;中学,31.196847592797337,121.44264000918899
上海师范大学第三附属实验学校行知楼,三江路310号,徐汇区,上海市,科教文化服务;学校;中学,31.1644556808195,121.43398054806951
上海市康健外国语实验中学,百花街15号,徐汇区,上海市,科教文化服务;学校;中学,31.154653936250114,121.40808815620414
上海市徐汇区青少年体育运动学校,华泾路1190号,徐汇区,上海市,科教文化服务;学校;中学,31.120031319330177,121.43926911922122
上海市民办邦德第四高级中学,日晖六村1,徐汇区,上海市,科教文化服务;学校;中学,31.19684104401908,121.457471759935
上海市园南中学,百色路231号,徐汇区,上海市,科教文化服务;学校;中学,31.14413067657507,121.4405528429413
位育中学国际部,位育路1号,徐汇区,上海市,科教文化服务;学校;中学,31.12011084625141,121.44013198710695
上海市西南位育中学(小木桥路),小木桥路500号(近零陵路)西南,徐汇区,上海市,科教文化服务;学校;中学,31.194375739030967,121.45600576563558
上海市龙漕中学,龙漕路269号,徐汇区,上海市,科教文化服务;学校;中学,31.17383245826056,121.43735042808454
上海市西南位育中学北校区,钦州北路425号,徐汇区,上海市,科教文化服务;学校;中学,31.181315850992114,121.41275105005457
上海市信息管理学校,蒲汇塘路99号,徐汇区,上海市,科教文化服务;学校;中学,31.188672351997763,121.43000225962227
上海市徐汇中学南校区,华发路68号,徐汇区,上海市,科教文化服务;学校;中学,31.129664520405363,121.45043406581371
上海中国中学聚仁楼,桂林东街与浦北路交叉口东50米,徐汇区,上海市,科教文化服务;学校;中学,31.159166059227637,121.42173040921202
上海市田林中学,宜山路699号(近桂林路),徐汇区,上海市,科教文化服务;学校;中学,31.176267542292962,121.41434985660212
上海市世界外国语中学北校,百花街400号,徐汇区,上海市,科教文化服务;学校;中学,31.147183619821853,121.40752449567026
上海市世界外国语中学国际部,百花街400号,徐汇区,上海市,科教文化服务;学校;中学,31.147342623447003,121.40772358922158
上海师范大学第三附属实验学校博雅楼,三江路与南宁路交叉口西100米,徐汇区,上海市,科教文化服务;学校;中学,31.16396976664176,121.43387639196504
上海音乐学院附中,东平路9号(近复兴中路),徐汇区,上海市,科教文化服务;学校;中学,31.210046150303178,121.44516282873695
上海师范大学附属中学,桂林路120-1号,徐汇区,上海市,科教文化服务;学校;中学,31.165338573323012,121.41355811159994
华东理工大学附属中学,梅陇十村76号,徐汇区,上海市,科教文化服务;学校;中学,31.133792614558377,121.41990034127741
上海师范大学第三附属实验学校,三江路310号,徐汇区,上海市,科教文化服务;学校;中学,31.164820858121647,121.43358075886064
上海建青实验学校,古羊路900号,长宁区,上海市,科教文化服务;学校;中学,31.19437937333614,121.39581776508543
上海市第三女子中学,江苏路155号,长宁区,上海市,科教文化服务;学校;中学,31.224665916480077,121.42630115146328
上海市延安中学,茅台路1111号,长宁区,上海市,科教文化服务;学校;中学,31.211556892893604,121.37594366392818
复旦中学,华山路1626号,长宁区,上海市,科教文化服务;学校;中学,31.205487590144788,121.4289500302002
娄山中学(宁锦小区南),玉屏南路640号(近古北路),长宁区,上海市,科教文化服务;学校;中学,31.21739218977784,121.39601774492121
上海长宁国际学校,虹桥路1161号,长宁区,上海市,科教文化服务;学校;中学,31.200381417700658,121.40471457906904
虹桥中学,虹桥路2222弄41号,长宁区,上海市,科教文化服务;学校;中学,31.193232580158725,121.37623795556931
上海市长宁中学,长宁路1302弄9号,长宁区,上海市,科教文化服务;学校;中学,31.220949656678897,121.4077221865209
上海市天山第二中学,芙蓉江路221号,长宁区,上海市,科教文化服务;学校;中学,31.214177516336786,121.39145188716991
上海市西郊学校,福泉路506号,长宁区,上海市,科教文化服务;学校;中学,31.205307429066195,121.35651979881509
上海市泸定中学,中山西路911弄1号,长宁区,上海市,科教文化服务;学校;中学,31.203334901777648,121.40936068475064
上海市延安中学西校,新泾镇金钟路299号,长宁区,上海市,科教文化服务;学校;中学,31.22138546542828,121.36087303591681
延安中学初三校区,武夷路140号,长宁区,上海市,科教文化服务;学校;中学,31.215594829084946,121.42351188814513
