SLONCOL,SLATCOL,ELONCOL,ELATCOL,VehicleNum
75,21,76,25,25
76,22,78,23,25
74,36,73,38,25
100,59,99,63,25
80,23,75,22,25
34,21,34,19,25
70,21,75,21,25
69,21,76,22,25
74,19,73,27,25
75,21,68,20,25
61,17,61,20,25
12,40,23,39,25
35,17,37,16,25
62,17,63,17,25
76,25,76,28,25
76,21,72,21,25
62,20,62,17,25
68,25,68,23,25
59,18,63,19,25
74,20,70,21,25
64,22,62,20,25
77,24,77,23,25
55,46,57,45,25
79,23,77,21,25
73,27,74,22,25
62,20,58,18,25
70,27,70,25,25
73,23,72,22,25
69,23,67,21,25
35,15,37,16,25
98,61,100,59,25
75,23,76,22,25
36,18,36,16,25
76,24,75,22,25
75,21,78,23,25
77,23,76,23,25
74,21,65,17,25
75,21,63,16,25
74,19,69,21,25
72,22,12,40,25
12,40,74,20,25
74,19,84,26,25
78,28,77,25,25
34,19,39,13,25
75,35,74,19,25
61,20,58,16,25
75,25,72,21,25
63,16,65,17,24
56,20,55,20,24
55,20,56,18,24
67,21,75,21,24
61,20,57,18,24
60,23,61,20,24
67,21,12,40,24
77,21,75,21,24
77,23,78,24,24
76,22,75,19,24
63,20,12,40,24
61,20,60,20,24
74,19,79,22,24
72,24,74,20,24
64,20,67,19,24
79,23,78,23,24
64,19,67,21,24
63,16,59,17,24
76,22,75,23,24
64,16,12,40,24
63,17,60,18,24
59,37,58,40,24
77,23,79,27,24
64,19,63,16,24
31,26,30,27,24
34,19,34,18,24
31,26,30,28,24
76,28,75,21,24
64,16,63,16,24
105,62,102,64,24
73,23,74,22,24
62,20,67,21,24
77,23,70,21,24
74,21,67,19,24
67,22,70,21,24
102,64,101,62,24
56,50,57,49,24
65,17,57,17,24
75,23,77,23,24
75,23,74,20,24
74,19,80,24,24
65,17,62,17,24
61,20,58,17,24
76,27,76,29,24
79,23,75,20,24
74,22,75,25,24
71,21,76,21,24
106,63,102,64,24
57,45,55,46,24
61,20,62,17,24
37,16,37,15,24
64,20,68,21,24
74,20,85,26,24
12,40,64,19,24
76,22,79,23,24
64,20,67,22,24
72,21,71,25,24
75,21,75,19,24
85,26,79,24,24
75,23,73,22,24
62,20,66,20,24
75,34,74,35,24
35,17,12,40,24
73,37,74,36,24
74,19,75,23,24
74,36,73,37,24
58,40,58,38,24
56,20,60,17,24
61,20,61,22,24
74,20,73,23,24
64,46,64,41,24
74,20,68,21,24
76,22,72,22,24
63,17,63,19,24
73,38,74,35,24
72,24,77,23,24
57,49,59,47,24
67,22,68,21,24
65,17,59,17,24
65,17,59,18,24
